City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,dryden,49.7833,-92.7503,2.16,87,75,4.63,CA,1699816501
345,fortaleza,-3.7227,-38.5247,30.07,59,0,6.69,BR,1699816290
346,altay,47.8667,88.1167,-0.71,71,100,2.5,CN,1699816503
347,xuanzhou,30.9525,118.7553,4.57,68,47,1.33,CN,1699816503
348,martapura,-3.4167,114.85,26.05,100,39,3.6,ID,1699816504
349,beira,-19.8436,34.8389,24.05,88,20,4.12,MZ,1699816504
350,sampang,-7.1872,113.2394,27.7,77,13,3.32,ID,1699816508
351,mahina,-17.5065,-149.489,28.87,79,75,5.66,PF,1699816508
352,kirs,59.3388,52.2447,0.49,87,100,2.29,RU,1699816509
353,al bawiti,28.3492,28.8659,23.41,53,0,3.7,EG,1699816509
354,lloydminster,53.2835,-110.0016,5.12,45,75,9.77,CA,1699816406
355,johi,26.6921,67.6133,22.99,21,100,0.09,PK,1699816510
356,bathsheba,13.2167,-59.5167,28.34,78,40,9.77,BB,1699816510
357,cantagalo,-21.9811,-42.3681,33.97,39,52,1.36,BR,1699816510
358,masindi,1.6744,31.715,19.35,89,73,0.82,UG,1699816510
